method,path,router_file
GET,/consultorio/intervencao-farmacoterapia/{intervencao_id}/desfechos,backend/routers/farmacoterapia.py
GET,/consultorio/paciente-clinico/{paciente_clinico_id}/pdf,backend/routers/prontuario_consultorio.py
GET,/consultorio/paciente-clinico/{paciente_clinico_id}/prontuario-longitudinal-pdf,backend/routers/prontuario_consultorio.py
GET,/consultorio/paciente-clinico/{paciente_clinico_id}/timeline,backend/routers/timeline_consultorio.py
GET,/consultorio/paciente-clinico/{paciente_id},backend/routers/conversao_clinica.py
GET,/consultorio/paciente-clinico/{paciente_id}/avaliacao-polifarmacia,backend/routers/farmacoterapia.py
PUT,/consultorio/paciente-clinico/{paciente_id}/dados-clinicos,backend/routers/consultorio_clinico.py
PUT,/consultorio/paciente-clinico/{paciente_id}/dados-clinicos,backend/routers/conversao_clinica.py
GET,/consultorio/paciente-clinico/{paciente_id}/evolucao-farmacoterapeutica,backend/routers/farmacoterapia.py
PUT,/consultorio/paciente-clinico/{paciente_id}/identificacao,backend/routers/consultorio_clinico.py
PUT,/consultorio/paciente-clinico/{paciente_id}/identificacao,backend/routers/conversao_clinica.py
POST,/consultorio/paciente-clinico/{paciente_id}/intervencao-farmacoterapia,backend/routers/farmacoterapia.py
GET,/consultorio/paciente-clinico/{paciente_id}/intervencoes-farmacoterapia,backend/routers/farmacoterapia.py
GET,/consultorio/paciente-clinico/{paciente_id}/linha-tempo,backend/routers/timeline_consultorio.py
POST,/consultorio/paciente-clinico/{paciente_id}/medicamento,backend/routers/farmacoterapia.py
GET,/consultorio/paciente-clinico/{paciente_id}/medicamentos,backend/routers/farmacoterapia.py
GET,/consultorio/paciente-clinico/{paciente_id}/planos-cuidado,backend/routers/consultorio.py
GET,/consultorio/paciente-clinico/{paciente_id}/sugestoes-plano-cuidado,backend/routers/farmacoterapia.py
POST,/consultorio/paciente-simplificado,backend/routers/pacientes_consultorio.py
GET,/consultorio/paciente-simplificado/{paciente_id},backend/routers/pacientes_consultorio.py
GET,/consultorio/paciente-simplificado/{paciente_id}/bioimpedancia-comparativo,backend/routers/bioimpedancia.py
GET,/consultorio/paciente-simplificado/{paciente_id}/bioimpedancia-comparativo,backend/routers/consultorio.py
GET,/consultorio/paciente-simplificado/{paciente_id}/bioimpedancia-historico,backend/routers/bioimpedancia.py
GET,/consultorio/paciente-simplificado/{paciente_id}/bioimpedancia-historico,backend/routers/consultorio.py
GET,/consultorio/paciente-simplificado/{paciente_id}/evolucoes,backend/routers/consultorio.py
GET,/consultorio/paciente-simplificado/{paciente_id}/glicemia-historico,backend/routers/consultorio.py
GET,/consultorio/paciente-simplificado/{paciente_id}/historico,backend/routers/pacientes_consultorio.py
GET,/consultorio/paciente-simplificado/{paciente_id}/pico-fluxo-historico,backend/routers/consultorio.py
GET,/consultorio/paciente-simplificado/{paciente_id}/pressao-historico,backend/routers/consultorio.py
GET,/consultorio/pacientes,backend/routers/pacientes.py
GET,/consultorio/pacientes-clinicos,backend/routers/conversao_clinica.py
GET,/consultorio/pacientes-simplificados,backend/routers/pacientes_consultorio.py
GET,/consultorio/pacientes/{paciente_id},backend/routers/pacientes.py
PUT,/consultorio/pacientes/{paciente_id},backend/routers/pacientes.py
GET,/consultorio/pacientes/{paciente_id}/historico,backend/routers/pacientes.py
POST,/consultorio/pico-fluxo,backend/routers/servicos_rapidos.py
POST,/consultorio/plano-cuidado,backend/routers/consultorio.py
PUT,/consultorio/plano-cuidado/{plano_id},backend/routers/consultorio.py
POST,/consultorio/plano-cuidado/{plano_id}/concluir,backend/routers/consultorio.py
POST,/consultorio/prontuario/{prontuario_id}/evolucao,backend/routers/consultorio_clinico.py
POST,/consultorio/prontuario/{prontuario_id}/evolucao,backend/routers/evolucoes_desfechos.py
GET,/consultorio/prontuario/{prontuario_id}/evolucoes,backend/routers/consultorio_clinico.py
GET,/consultorio/prontuario/{prontuario_id}/evolucoes,backend/routers/evolucoes_desfechos.py
GET,/consultorio/relatorio-cientifico-pdf,backend/routers/consultorio.py
GET,/consultorio/relatorio-cientifico-pdf,backend/routers/indicadores_cientificos.py
GET,/consultorio/relatorio-cientifico-pdf,backend/routers/relatorios_cientificos.py
GET,/consultorio/relatorio-mensal,backend/routers/consultorio.py
GET,/consultorio/relatorio-resolucao-alertas-pdf,backend/routers/alertas_clinicos.py
GET,/consultorio/relatorio-resolucao-alertas-pdf,backend/routers/consultorio.py
GET,/consultorio/serie-temporal-cientifica,backend/routers/consultorio.py
GET,/consultorio/serie-temporal-cientifica,backend/routers/indicadores_cientificos.py
GET,/consultorio/serie-temporal-cientifica,backend/routers/relatorios_cientificos.py
GET,/consultorio/triagem-risco,backend/routers/consultorio.py
GET,/indicadores,backend/main.py
GET,/intervencoes,backend/main.py
POST,/intervencoes,backend/main.py
GET,/intervencoes/exportar/csv,backend/main.py
GET,/intervencoes/inativadas,backend/main.py
PUT,/intervencoes/{intervencao_id},backend/main.py
PUT,/intervencoes/{item_id}/inativar,backend/main.py
PUT,/intervencoes/{item_id}/reativar,backend/main.py
GET,/me,backend/main.py
PUT,/me/password,backend/main.py
GET,/opcoes,backend/main.py
GET,/profissionais,backend/main.py
GET,/relatorios/mensal/pdf,backend/main.py
GET,/supervisores,backend/main.py
GET,/teste-geral,backend/main.py
GET,/users,backend/main.py
POST,/users,backend/main.py
PUT,/users/{user_id}/password,backend/main.py
