metodo,rota,arquivo,router_registrado_no_main
GET,/consultorio/prontuario/{prontuario_id}/evolucoes,routers/consultorio_clinico.py,False
GET,/consultorio/prontuario/{prontuario_id}/evolucoes,routers/evolucoes_desfechos.py,True
GET,/consultorio/relatorio-cientifico-pdf,routers/indicadores_cientificos.py,True
GET,/consultorio/relatorio-cientifico-pdf,routers/relatorios_cientificos.py,False
GET,/consultorio/relatorio-mensal,routers/consultorio.py,True
GET,/consultorio/relatorio-resolucao-alertas-pdf,routers/alertas_clinicos.py,False
GET,/consultorio/relatorio-resolucao-alertas-pdf,routers/consultorio.py,True
GET,/consultorio/serie-temporal-cientifica,routers/indicadores_cientificos.py,True
GET,/consultorio/serie-temporal-cientifica,routers/relatorios_cientificos.py,False
GET,/consultorio/triagem-risco,routers/consultorio.py,True
POST,/consultorio/afericao-pa,routers/servicos_rapidos.py,True
POST,/consultorio/agenda,routers/consultorio.py,True
POST,/consultorio/agenda/capacidade,routers/consultorio.py,True
POST,/consultorio/agenda/gerar-alertas-renovacao,routers/consultorio.py,True
POST,/consultorio/agenda/gerar-alertas-risco-interrupcao,routers/consultorio.py,True
POST,/consultorio/agenda/notificacoes/gerar,routers/consultorio.py,True
POST,/consultorio/agenda/pacientes,routers/consultorio.py,True
POST,/consultorio/agenda/{agenda_id}/status,routers/consultorio.py,True
POST,/consultorio/alertas-clinicos/resolver,routers/alertas_clinicos.py,False
POST,/consultorio/alertas-clinicos/resolver,routers/consultorio.py,True
POST,/consultorio/atendimento-rapido,routers/servicos_rapidos.py,True
POST,/consultorio/bioimpedancia,routers/servicos_rapidos.py,True
POST,/consultorio/converter-para-clinico/{paciente_simplificado_id},routers/consultorio_clinico.py,False
POST,/consultorio/converter-para-clinico/{paciente_simplificado_id},routers/conversao_clinica.py,True
POST,/consultorio/evolucao-farmaceutica,routers/consultorio.py,True
POST,/consultorio/evolucao/{evolucao_id}/desfecho,routers/consultorio_clinico.py,False
POST,/consultorio/evolucao/{evolucao_id}/desfecho,routers/evolucoes_desfechos.py,True
POST,/consultorio/evolucao/{evolucao_id}/vincular-intervencao,routers/evolucoes_desfechos.py,True
POST,/consultorio/glicemia,routers/servicos_rapidos.py,True
POST,/consultorio/intervencao-farmacoterapia/{intervencao_id}/desfecho,routers/farmacoterapia.py,True
POST,/consultorio/paciente-clinico/{paciente_id}/intervencao-farmacoterapia,routers/farmacoterapia.py,True
POST,/consultorio/paciente-clinico/{paciente_id}/medicamento,routers/farmacoterapia.py,True
POST,/consultorio/paciente-simplificado,routers/pacientes_consultorio.py,True
POST,/consultorio/pico-fluxo,routers/servicos_rapidos.py,True
POST,/consultorio/plano-cuidado,routers/consultorio.py,True
POST,/consultorio/plano-cuidado/{plano_id}/concluir,routers/consultorio.py,True
POST,/consultorio/prontuario/{prontuario_id}/evolucao,routers/consultorio_clinico.py,False
POST,/consultorio/prontuario/{prontuario_id}/evolucao,routers/evolucoes_desfechos.py,True
PUT,/consultorio/agenda/capacidade/{capacidade_id},routers/consultorio.py,True
PUT,/consultorio/agenda/notificacoes/{notificacao_id}/marcar-enviada,routers/notificacoes.py,True
PUT,/consultorio/agenda/notificacoes/{notificacao_id}/status,routers/consultorio.py,True
PUT,/consultorio/agenda/pacientes/{paciente_id},routers/consultorio.py,True
PUT,/consultorio/agenda/{agenda_id},routers/consultorio.py,True
PUT,/consultorio/paciente-clinico/{paciente_id}/dados-clinicos,routers/consultorio_clinico.py,False
PUT,/consultorio/paciente-clinico/{paciente_id}/dados-clinicos,routers/conversao_clinica.py,True
PUT,/consultorio/paciente-clinico/{paciente_id}/identificacao,routers/consultorio_clinico.py,False
PUT,/consultorio/paciente-clinico/{paciente_id}/identificacao,routers/conversao_clinica.py,True
PUT,/consultorio/pacientes/{paciente_id},routers/pacientes.py,True
PUT,/consultorio/plano-cuidado/{plano_id},routers/consultorio.py,True
